Event.Id,Event.Date,Location,Make,Model,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Broad.phase.of.flight,Aircraft.Category,Number.of.Engines
20171031X10138,2017-10-31,"Whiteville, NC",BEECH,35C33,Reciprocating,1.0,1.0,NULL,Airplane,1.0
20171121X93124,2017-11-01,"Karachi, Pakistan",BOEING,767,Turbo Fan,0.0,0.0,NULL,Airplane,2.0
20171103X74838,2017-11-02,"Montague, MA",GREAT LAKES,2T1A,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171108X95150,2017-11-02,"Thompson, Canada",SWEARINGEN,SA227,Turbo Prop,0.0,2.0,NULL,Airplane,2.0
20171128X72916,2017-11-02,"Redding, CA",CESSNA,172R,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171103X03137,2017-11-03,"Las Vegas, NV",BEECH,B95,Reciprocating,0.0,2.0,NULL,Airplane,2.0
20171103X42143,2017-11-03,"Murphy, ID",PIPER,PA 18-150,Reciprocating,1.0,0.0,NULL,Airplane,1.0
20171106X72432,2017-11-03,"Erwinna, PA",MAURER ELMO A,V STAR SA900,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171104X12527,2017-11-04,"Alva, OK",BEECH,V35B,Reciprocating,2.0,0.0,NULL,Airplane,1.0
20171106X75233,2017-11-04,"Hatch, NM",CESSNA,172N,Reciprocating,4.0,0.0,NULL,Airplane,1.0
20171106X54947,2017-11-05,"Las Vegas, NM",SOCATA,TBM 850,Turbo Prop,0.0,0.0,NULL,Airplane,1.0
20171108X52738,2017-11-05,"Batavia, OH",PIPER,PA28,Reciprocating,0.0,1.0,NULL,Airplane,1.0
20171108X93049,2017-11-05,"St Mary's, KS",RIGGS KENNETH W,T BIRD II,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171106X75406,2017-11-06,"Larchwood, IA",ROBINSON HELICOPTER,R44,Reciprocating,0.0,0.0,NULL,Helicopter,1.0
20171107X60614,2017-11-07,"Clearwater, FL",ICON AIRCRAFT INC,A5,Reciprocating,1.0,0.0,NULL,Airplane,1.0
20171107X95948,2017-11-07,"Los Lunas, NM",MOONEY AIRCRAFT CORP.,M20K,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171113X91400,2017-11-07,"Bonners Ferry, ID",CESSNA,172,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171107X44514,2017-11-07,"Sulphur, LA",HUGHES,369D,Turbo Shaft,2.0,0.0,NULL,Helicopter,1.0
20171107X13608,2017-11-08,"Morrison, TN",PIPER,PA 32,Reciprocating,2.0,0.0,NULL,Airplane,1.0
20171108X41027,2017-11-08,"Union City, TN",BELL,206,Turbo Shaft,0.0,3.0,NULL,Helicopter,1.0
20171114X30932,2017-11-08,"Johannesburg, South Africa",BRITISH AEROSPACE,AVRO  146,Turbo Fan,0.0,0.0,NULL,Airplane,4.0
20171116X64316,2017-11-08,"Macon, GA",CESSNA,140,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171122X13300,2017-11-08,"Carroll, OH",PIPER,PA 28-180,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171204X53544,2017-11-08,"Harvard, IL",CESSNA,170B,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171114X41302,2017-11-09,"Trenton, NJ",CESSNA,172,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171110X61056,2017-11-10,"Pineville, LA",TEMCO,GC 1B,Reciprocating,1.0,0.0,NULL,Airplane,1.0
20171111X81525,2017-11-10,"Annapolis, MD",SOCATA,TB200,Reciprocating,0.0,0.0,NULL,Airplane,1.0
